run_id,model_label,category,num_tasks,num_parsed,num_failures,expected_valid_parsed_tasks,gold_bearing_parsed_tasks,parse_success_rate,conditional_validity_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,invalidity_rate,trace_grounding_rate,direct_f1,closure_f1,closure_preservation_rate,abstention_rate,overcommitment_rate,contradiction_detection_rate,avg_first_violation_step,analysis_focus
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,ambiguous,60,52,8,52,0,0.8666666666666667,1.0,1.0,0.8666666666666667,0.0,0.9615384615384616,,,0.6923076923076923,0.19230769230769232,0.8076923076923077,0.0,1,consistency
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,contradiction,50,46,4,0,0,0.92,0.7608695652173914,0.2391304347826087,0.22,0.2391304347826087,0.8695652173913043,,,,0.06521739130434782,0.0,0.2391304347826087,0,consistency
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,linear_chain,60,41,19,41,41,0.6833333333333333,0.926829268292683,0.926829268292683,0.6333333333333333,0.07317073170731707,0.9512195121951219,0.5106382978723404,0.7,0.3902439024390244,0.0,0.0,0.0,1.3333333333333333,fidelity
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,long_chain,30,20,10,20,20,0.6666666666666666,0.95,0.95,0.6333333333333333,0.05,0.95,0.8041237113402061,0.8330404217926186,0.7,0.0,0.0,0.05,2.5,fidelity
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,transitive_reasoning,50,35,15,35,35,0.7,1.0,1.0,0.7,0.0,1.0,0.7354260089686099,1.0,1.0,0.0,0.0,0.0,,fidelity
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,ambiguous,60,50,10,50,0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.0,1.0,,,0.82,0.18,0.82,0.0,,consistency
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,contradiction,50,48,2,0,0,0.96,0.14583333333333334,0.8541666666666666,0.82,0.8541666666666666,0.875,,,,0.020833333333333332,0.0,0.8541666666666666,0,consistency
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,linear_chain,60,58,2,58,58,0.9666666666666667,0.9655172413793104,0.9655172413793104,0.9333333333333333,0.034482758620689655,1.0,0.711111111111111,0.8267898383371824,0.6379310344827587,0.0,0.0,0.0,2,fidelity
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,long_chain,30,25,5,25,25,0.8333333333333334,1.0,1.0,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,fidelity
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,transitive_reasoning,50,48,2,48,48,0.96,1.0,1.0,0.96,0.0,1.0,0.7774294670846394,1.0,1.0,0.0,0.0,0.0,,fidelity
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,ambiguous,60,60,0,60,0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.45,0.16666666666666666,0.8333333333333334,0.0,,consistency
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,contradiction,50,50,0,0,0,1.0,0.02,0.98,0.98,0.98,1.0,,,,0.0,0.0,0.98,0,consistency
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,linear_chain,60,60,0,60,60,1.0,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.18333333333333332,0.8333333333333334,0.3445692883895131,0.37558685446009393,0.21666666666666667,0.0,0.0,0.016666666666666666,1.4166666666666667,fidelity
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,long_chain,30,30,0,30,30,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.7697594501718213,0.7752675386444708,0.6666666666666666,0.03333333333333333,0.0,0.0,1,fidelity
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,transitive_reasoning,50,50,0,50,50,1.0,1.0,1.0,1.0,0.0,1.0,0.7358490566037735,1.0,1.0,0.0,0.0,0.0,,fidelity
mistral-7b_2026-05-13_043657UTC,Mistral 7B,ambiguous,60,59,1,59,0,0.9833333333333333,0.711864406779661,0.711864406779661,0.7,0.288135593220339,0.8813559322033898,,,0.0,0.0,1.0,0.0,1.0555555555555556,consistency
mistral-7b_2026-05-13_043657UTC,Mistral 7B,contradiction,50,50,0,0,0,1.0,0.16,0.84,0.84,0.84,0.68,,,,0.0,0.0,0.8,0.21428571428571427,consistency
