task_id,category,gold_label,predicted_label,label_correct,verifier_valid,trace_grounded,direct_f1,closure_f1,first_violation_step,num_violations,num_formula_violations,question,gold_relations,pred_edges,answer
te3_test_AP_20130322_l6,tempeval_relation,SIMULTANEOUS,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- sparking [ei4]
- started [ei3]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""sparking [ei4]"", ""started [ei3]"", ""SIMULTANEOUS""]]","[[""sparking"", ""started"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l7,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- turn [ei5]
- started [ei3]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""turn [ei5]"", ""started [ei3]"", ""AFTER""]]","[[""turn [ei5]"", ""started [ei3]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l10,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- started [ei3]
- ended [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei3]"", ""ended [ei6]"", ""BEFORE""]]","[[""started [ei3]"", ""ended [ei6]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l11,tempeval_relation,AFTER,AFTER,1,1,1,0.0,1.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention.

Determine the temporal relation between the following event mentions.
- according [ei7]
- ended [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""according [ei7]"", ""ended [ei6]"", ""AFTER""]]","[[""ended [ei6]"", ""according [ei7]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l17,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention. Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday.

Determine the temporal relation between the following event mentions.
- ended [ei6]
- said [ei9]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""ended [ei6]"", ""said [ei9]"", ""BEFORE""]]","[[""ei6"", ""ei9"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l18,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday.

Determine the temporal relation between the following event mentions.
- reported [ei8]
- said [ei9]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""reported [ei8]"", ""said [ei9]"", ""BEFORE""]]","[[""reported [ei8]"", ""said [ei9]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l19,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday.

Determine the temporal relation between the following event mentions.
- said [ei10]
- said [ei9]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei10]"", ""said [ei9]"", ""SIMULTANEOUS""]]","[[""said [ei10]"", ""said [ei9]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l32,tempeval_relation,BEFORE,UNKNOWN,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.

Determine the temporal relation between the following event mentions.
- died [ei16]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""died [ei16]"", ""said [ei20]"", ""BEFORE""]]",[],UNKNOWN
te3_test_AP_20130322_l33,tempeval_relation,BEFORE,UNKNOWN,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.

Determine the temporal relation between the following event mentions.
- vaccinated [ei17]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""vaccinated [ei17]"", ""said [ei20]"", ""BEFORE""]]",[],UNKNOWN
te3_test_AP_20130322_l35,tempeval_relation,BEFORE,UNKNOWN,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.

Determine the temporal relation between the following event mentions.
- vaccinated [ei19]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""vaccinated [ei19]"", ""said [ei20]"", ""BEFORE""]]",[],UNKNOWN
