run_id,model_label,difficulty,num_tasks,num_parsed,num_failures,expected_valid_parsed_tasks,gold_bearing_parsed_tasks,parse_success_rate,conditional_validity_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,invalidity_rate,trace_grounding_rate,direct_f1,closure_f1,closure_preservation_rate,abstention_rate,overcommitment_rate,contradiction_detection_rate,avg_first_violation_step,analysis_focus
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,empty_gold,60,52,8,52,0,0.8666666666666667,1.0,1.0,0.8666666666666667,0.0,0.9615384615384616,,,0.6923076923076923,0.19230769230769232,0.8076923076923077,0.0,1,consistency
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,high_complexity,47,32,15,32,32,0.6808510638297872,0.96875,0.96875,0.6595744680851063,0.03125,0.96875,0.7549668874172185,0.8667601683029453,0.8125,0.0,0.0,0.03125,2.5,fidelity
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,low_complexity,93,76,17,30,30,0.8172043010752689,0.8421052631578947,0.5263157894736842,0.43010752688172044,0.15789473684210525,0.9078947368421053,0.4715447154471545,0.6860465116279069,0.43333333333333335,0.039473684210526314,0.0,0.14473684210526316,0,fidelity
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,medium_complexity,50,34,16,34,34,0.68,0.9411764705882353,0.9411764705882353,0.64,0.058823529411764705,0.9705882352941176,0.7222222222222222,0.8646616541353385,0.7647058823529411,0.0,0.0,0.0,2,fidelity
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,empty_gold,60,50,10,50,0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.0,1.0,,,0.82,0.18,0.82,0.0,,consistency
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,high_complexity,47,42,5,42,42,0.8936170212765957,1.0,1.0,0.8936170212765957,0.0,1.0,0.8721804511278195,1.0,1.0,0.0,0.0,0.0,,fidelity
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,low_complexity,93,90,3,42,42,0.967741935483871,0.5222222222222223,0.9,0.8709677419354839,0.4777777777777778,0.9333333333333333,0.689655172413793,0.8163265306122449,0.6190476190476191,0.011111111111111112,0.0,0.45555555555555555,0.09302325581395349,fidelity
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,medium_complexity,50,47,3,47,47,0.94,1.0,1.0,0.94,0.0,1.0,0.8320610687022901,0.9197860962566844,0.8936170212765957,0.0,0.0,0.0,,fidelity
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,empty_gold,60,60,0,60,0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.45,0.16666666666666666,0.8333333333333334,0.0,,consistency
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,high_complexity,47,47,0,47,47,1.0,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.0851063829787234,0.9148936170212766,0.7342342342342343,0.8191387559808612,0.7872340425531915,0.02127659574468085,0.0,0.0,1,fidelity
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,low_complexity,93,93,0,43,43,1.0,0.40860215053763443,0.9247311827956989,0.9247311827956989,0.5913978494623656,0.9354838709677419,0.30487804878048785,0.3463203463203463,0.16279069767441862,0.0,0.0,0.5268817204301075,0.17857142857142858,fidelity
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,medium_complexity,50,50,0,50,50,1.0,0.9,0.9,0.9,0.1,0.92,0.6492537313432836,0.7073791348600509,0.78,0.0,0.0,0.02,1.4,fidelity
mistral-7b_2026-05-13_043657UTC,Mistral 7B,empty_gold,60,59,1,59,0,0.9833333333333333,0.711864406779661,0.711864406779661,0.7,0.288135593220339,0.8813559322033898,,,0.0,0.0,1.0,0.0,1.0555555555555556,consistency
mistral-7b_2026-05-13_043657UTC,Mistral 7B,high_complexity,47,47,0,47,47,1.0,0.6808510638297872,0.6808510638297872,0.6808510638297872,0.3191489361702128,0.6808510638297872,0.19435736677115986,0.1526479750778816,0.06382978723404255,0.0,0.0,0.0,1.3157894736842106,fidelity
mistral-7b_2026-05-13_043657UTC,Mistral 7B,low_complexity,93,89,4,39,39,0.956989247311828,0.47191011235955055,0.8539325842696629,0.8172043010752689,0.5280898876404494,0.7752808988764045,0.3380281690140845,0.3473684210526316,0.05128205128205128,0.0,0.0,0.4606741573033708,0.2978723404255319,fidelity
mistral-7b_2026-05-13_043657UTC,Mistral 7B,medium_complexity,50,50,0,50,50,1.0,0.66,0.66,0.66,0.34,0.66,0.5061224489795919,0.5661538461538462,0.44,0.0,0.0,0.0,1.3,fidelity
gemma3-12b_2026-05-13_045357UTC,Gemma 3 12B,empty_gold,60,60,0,60,0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.0,,consistency
gemma3-12b_2026-05-13_045357UTC,Gemma 3 12B,high_complexity,47,47,0,47,47,1.0,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.0425531914893617,1.0,0.5306122448979592,0.5413363533408833,0.5106382978723404,0.0,0.0,0.0,1,fidelity
gemma3-12b_2026-05-13_045357UTC,Gemma 3 12B,low_complexity,93,93,0,43,43,1.0,1.0,0.46236559139784944,0.46236559139784944,0.0,1.0,0.5341614906832299,0.6206896551724137,0.37209302325581395,0.5376344086021505,0.0,0.0,,fidelity
gemma3-12b_2026-05-13_045357UTC,Gemma 3 12B,medium_complexity,50,50,0,50,50,1.0,1.0,1.0,1.0,0.0,1.0,0.6852589641434264,0.7679558011049723,0.74,0.0,0.0,0.0,,fidelity
